dataset_agent,learning_rate,dicount_factor,total_time_step,hyper_parameters,sharp_ratio,training_mins
BTC_DQN,0.1,0.9,500000,learning_rate:0.1-dicount_factor:0.9-total_time_step:500000,-0.301,22.850905179977417
BTC_DQN,1e-05,0.84,200000,learning_rate:1e-05-dicount_factor:0.84-total_time_step:200000,0.265,10.726240158081055
BTC_DQN,1e-05,0.82,400000,learning_rate:1e-05-dicount_factor:0.82-total_time_step:400000,-0.033,21.87559986114502
BTC_DQN,0.01,0.84,400000,learning_rate:0.01-dicount_factor:0.84-total_time_step:400000,0.058,20.559137105941772
BTC_DQN,0.0001,0.82,200000,learning_rate:0.0001-dicount_factor:0.82-total_time_step:200000,-0.081,9.283243894577026
BTC_DQN,0.0001,0.84,300000,learning_rate:0.0001-dicount_factor:0.84-total_time_step:300000,0.162,13.729987144470215
BTC_DQN,0.1,0.8,300000,learning_rate:0.1-dicount_factor:0.8-total_time_step:300000,-0.557,13.324532985687256
BTC_DQN,0.1,0.82,500000,learning_rate:0.1-dicount_factor:0.82-total_time_step:500000,-0.181,22.54174017906189
BTC_DQN,0.01,0.8,500000,learning_rate:0.01-dicount_factor:0.8-total_time_step:500000,0.093,22.443418979644775
BTC_DQN,0.01,0.84,400000,learning_rate:0.01-dicount_factor:0.84-total_time_step:400000,-0.084,17.86277675628662
BTC_DQN,0.01,0.9,500000,learning_rate:0.01-dicount_factor:0.9-total_time_step:500000,-0.227,22.25470495223999
BTC_DQN,1e-05,0.9,300000,learning_rate:1e-05-dicount_factor:0.9-total_time_step:300000,-0.475,13.396558046340942
BTC_DQN,1e-05,0.86,100000,learning_rate:1e-05-dicount_factor:0.86-total_time_step:100000,-0.025,4.534483909606934
BTC_DQN,0.01,0.82,500000,learning_rate:0.01-dicount_factor:0.82-total_time_step:500000,-0.198,22.289623975753784
BTC_DQN,0.0001,0.82,500000,learning_rate:0.0001-dicount_factor:0.82-total_time_step:500000,-0.012,22.2899911403656
BTC_DQN,1e-05,0.8,100000,learning_rate:1e-05-dicount_factor:0.8-total_time_step:100000,0.279,4.573209762573242
BTC_DQN,0.1,0.8,100000,learning_rate:0.1-dicount_factor:0.8-total_time_step:100000,0.474,4.513052940368652
BTC_DQN,0.0001,0.84,500000,learning_rate:0.0001-dicount_factor:0.84-total_time_step:500000,0.016,22.73311710357666
BTC_DQN,0.1,0.86,400000,learning_rate:0.1-dicount_factor:0.86-total_time_step:400000,0.175,18.073256254196167
BTC_DQN,0.0001,0.8,400000,learning_rate:0.0001-dicount_factor:0.8-total_time_step:400000,0.371,17.990386962890625
BTC_MULTI_AGENT,0.0007,0.82,200000,learning_rate:0.0007-dicount_factor:0.82-total_time_step:200000,0.263,12.4267098903656
BTC_MULTI_AGENT,0.7,0.86,200000,learning_rate:0.7-dicount_factor:0.86-total_time_step:200000,0.055,11.64513111114502
BTC_MULTI_AGENT,7e-05,0.9,100000,learning_rate:7e-05-dicount_factor:0.9-total_time_step:100000,0.138,6.18639612197876
BTC_MULTI_AGENT,0.007,0.84,300000,learning_rate:0.007-dicount_factor:0.84-total_time_step:300000,0.281,17.712058782577515
BTC_MULTI_AGENT,0.7,0.84,500000,learning_rate:0.7-dicount_factor:0.84-total_time_step:500000,0.528,28.879910945892334
BTC_MULTI_AGENT,0.0007,0.86,500000,learning_rate:0.0007-dicount_factor:0.86-total_time_step:500000,0.063,30.089496850967407
BTC_MULTI_AGENT,7e-05,0.8,400000,learning_rate:7e-05-dicount_factor:0.8-total_time_step:400000,-0.347,24.090628147125244
BTC_MULTI_AGENT,0.007,0.84,200000,learning_rate:0.007-dicount_factor:0.84-total_time_step:200000,0.470,11.59876275062561
BTC_MULTI_AGENT,7e-05,0.86,100000,learning_rate:7e-05-dicount_factor:0.86-total_time_step:100000,0.011,6.098592281341553
BTC_MULTI_AGENT,0.007,0.9,200000,learning_rate:0.007-dicount_factor:0.9-total_time_step:200000,0.054,11.635914087295532
BTC_MULTI_AGENT,0.007,0.9,100000,learning_rate:0.007-dicount_factor:0.9-total_time_step:100000,0.083,5.921093940734863
BTC_MULTI_AGENT,0.7,0.86,500000,learning_rate:0.7-dicount_factor:0.86-total_time_step:500000,-0.264,29.138216972351074
BTC_MULTI_AGENT,0.0007,0.8,400000,learning_rate:0.0007-dicount_factor:0.8-total_time_step:400000,-0.060,24.07907795906067
BTC_MULTI_AGENT,0.7,0.84,200000,learning_rate:0.7-dicount_factor:0.84-total_time_step:200000,0.104,11.673012971878052
BTC_MULTI_AGENT,0.0007,0.82,100000,learning_rate:0.0007-dicount_factor:0.82-total_time_step:100000,-0.456,5.969998836517334
BTC_MULTI_AGENT,7e-05,0.8,300000,learning_rate:7e-05-dicount_factor:0.8-total_time_step:300000,-0.278,18.804497003555298
BTC_MULTI_AGENT,0.7,0.82,500000,learning_rate:0.7-dicount_factor:0.82-total_time_step:500000,-0.249,29.097005128860474
BTC_MULTI_AGENT,0.0007,0.9,100000,learning_rate:0.0007-dicount_factor:0.9-total_time_step:100000,0.013,6.076986074447632
BTC_MULTI_AGENT,0.0007,0.86,300000,learning_rate:0.0007-dicount_factor:0.86-total_time_step:300000,0.444,18.116592168807983
BTC_MULTI_AGENT,0.7,0.82,500000,learning_rate:0.7-dicount_factor:0.82-total_time_step:500000,0.524,28.89134407043457
ETH_DQN,0.0001,0.9,300000,learning_rate:0.0001-dicount_factor:0.9-total_time_step:300000,0.081,12.224768161773682
ETH_DQN,1e-05,0.84,200000,learning_rate:1e-05-dicount_factor:0.84-total_time_step:200000,0.488,8.993999004364014
ETH_DQN,0.1,0.86,300000,learning_rate:0.1-dicount_factor:0.86-total_time_step:300000,0.536,13.910313129425049
ETH_DQN,0.01,0.9,400000,learning_rate:0.01-dicount_factor:0.9-total_time_step:400000,-0.098,2020.4189882278442
ETH_DQN,0.01,0.84,300000,learning_rate:0.01-dicount_factor:0.84-total_time_step:300000,-0.360,14.831655979156494
ETH_DQN,0.0001,0.8,500000,learning_rate:0.0001-dicount_factor:0.8-total_time_step:500000,-0.135,26.855128049850464
ETH_DQN,0.01,0.82,200000,learning_rate:0.01-dicount_factor:0.82-total_time_step:200000,-0.197,7209.634431838989
ETH_DQN,0.1,0.8,500000,learning_rate:0.1-dicount_factor:0.8-total_time_step:500000,-0.363,24.87025475502014
ETH_DQN,0.0001,0.9,500000,learning_rate:0.0001-dicount_factor:0.9-total_time_step:500000,0.082,5389.138161897659
ETH_DQN,0.1,0.82,500000,learning_rate:0.1-dicount_factor:0.82-total_time_step:500000,0.167,25.38479709625244
ETH_DQN,0.001,0.86,400000,learning_rate:0.001-dicount_factor:0.86-total_time_step:400000,-0.102,7221.284518241882
ETH_DQN,1e-05,0.86,500000,learning_rate:1e-05-dicount_factor:0.86-total_time_step:500000,-0.105,24.5588059425354
ETH_DQN,0.001,0.82,500000,learning_rate:0.001-dicount_factor:0.82-total_time_step:500000,-0.261,28.200366258621216
ETH_DQN,0.01,0.82,200000,learning_rate:0.01-dicount_factor:0.82-total_time_step:200000,0.047,11.484461784362793
ETH_DQN,0.01,0.82,200000,learning_rate:0.01-dicount_factor:0.82-total_time_step:200000,0.393,3027.448250055313
ETH_DQN,0.001,0.82,500000,learning_rate:0.001-dicount_factor:0.82-total_time_step:500000,0.097,24.98443102836609
ETH_DQN,1e-05,0.84,100000,learning_rate:1e-05-dicount_factor:0.84-total_time_step:100000,0.248,5.477380990982056
ETH_DQN,0.0001,0.82,500000,learning_rate:0.0001-dicount_factor:0.82-total_time_step:500000,-0.233,3157.2004070281982
ETH_DQN,0.01,0.82,100000,learning_rate:0.01-dicount_factor:0.82-total_time_step:100000,0.065,4.864758729934692
ETH_DQN,0.001,0.9,300000,learning_rate:0.001-dicount_factor:0.9-total_time_step:300000,-0.169,16.694682836532593
ETH_MULTI_AGENT,0.0007,0.8,400000,learning_rate:0.0007-dicount_factor:0.8-total_time_step:400000,-0.020,237.68428492546082
ETH_MULTI_AGENT,7e-05,0.84,300000,learning_rate:7e-05-dicount_factor:0.84-total_time_step:300000,0.449,21.49541926383972
ETH_MULTI_AGENT,0.0007,0.8,100000,learning_rate:0.0007-dicount_factor:0.8-total_time_step:100000,-0.173,6.003122091293335
ETH_MULTI_AGENT,0.0007,0.8,100000,learning_rate:0.0007-dicount_factor:0.8-total_time_step:100000,0.108,6.408132791519165
ETH_MULTI_AGENT,0.0007,0.82,200000,learning_rate:0.0007-dicount_factor:0.82-total_time_step:200000,0.074,12.347088813781738
ETH_MULTI_AGENT,7e-05,0.82,100000,learning_rate:7e-05-dicount_factor:0.82-total_time_step:100000,-0.033,6.213341951370239
ETH_MULTI_AGENT,0.007,0.82,300000,learning_rate:0.007-dicount_factor:0.82-total_time_step:300000,0.767,18.172935962677002
ETH_MULTI_AGENT,0.007,0.82,100000,learning_rate:0.007-dicount_factor:0.82-total_time_step:100000,-0.401,5.971979141235352
ETH_MULTI_AGENT,0.007,0.84,400000,learning_rate:0.007-dicount_factor:0.84-total_time_step:400000,-0.426,23.616096019744873
ETH_MULTI_AGENT,0.007,0.82,400000,learning_rate:0.007-dicount_factor:0.82-total_time_step:400000,0.705,31.937759160995483
ETH_MULTI_AGENT,0.007,0.86,400000,learning_rate:0.007-dicount_factor:0.86-total_time_step:400000,-0.299,26.764657974243164
ETH_MULTI_AGENT,0.007,0.84,400000,learning_rate:0.007-dicount_factor:0.84-total_time_step:400000,0.690,24.34352469444275
ETH_MULTI_AGENT,0.007,0.84,100000,learning_rate:0.007-dicount_factor:0.84-total_time_step:100000,0.143,6.020301818847656
ETH_MULTI_AGENT,0.007,0.9,100000,learning_rate:0.007-dicount_factor:0.9-total_time_step:100000,0.199,6.092756986618042
ETH_MULTI_AGENT,0.7,0.9,300000,learning_rate:0.7-dicount_factor:0.9-total_time_step:300000,0.640,17.711970806121826
ETH_MULTI_AGENT,0.007,0.84,400000,learning_rate:0.007-dicount_factor:0.84-total_time_step:400000,-0.202,29.72521424293518
ETH_MULTI_AGENT,0.7,0.8,500000,learning_rate:0.7-dicount_factor:0.8-total_time_step:500000,0.763,33.866817235946655
ETH_MULTI_AGENT,0.7,0.82,100000,learning_rate:0.7-dicount_factor:0.82-total_time_step:100000,0.134,6.188894033432007
ETH_MULTI_AGENT,0.7,0.82,100000,learning_rate:0.7-dicount_factor:0.82-total_time_step:100000,0.056,6.304274082183838
ETH_MULTI_AGENT,0.0007,0.8,200000,learning_rate:0.0007-dicount_factor:0.8-total_time_step:200000,-0.078,12.294811010360718
LTC_DQN,0.01,0.9,500000,learning_rate:0.01-dicount_factor:0.9-total_time_step:500000,0.355,19.934969186782837
LTC_DQN,0.1,0.8,300000,learning_rate:0.1-dicount_factor:0.8-total_time_step:300000,0.608,15.488425970077515
LTC_DQN,0.0001,0.9,500000,learning_rate:0.0001-dicount_factor:0.9-total_time_step:500000,0.286,29.829880952835083
LTC_DQN,1e-05,0.84,400000,learning_rate:1e-05-dicount_factor:0.84-total_time_step:400000,0.239,18.2640540599823
LTC_DQN,0.0001,0.8,100000,learning_rate:0.0001-dicount_factor:0.8-total_time_step:100000,-0.116,4.5602428913116455
LTC_DQN,0.0001,0.82,300000,learning_rate:0.0001-dicount_factor:0.82-total_time_step:300000,-0.188,13.560277938842773
LTC_DQN,0.001,0.82,100000,learning_rate:0.001-dicount_factor:0.82-total_time_step:100000,-0.101,4.6039879322052
LTC_DQN,0.0001,0.84,300000,learning_rate:0.0001-dicount_factor:0.84-total_time_step:300000,0.115,13.562785863876343
LTC_DQN,0.001,0.82,200000,learning_rate:0.001-dicount_factor:0.82-total_time_step:200000,-0.079,9.041374921798706
LTC_DQN,0.01,0.8,100000,learning_rate:0.01-dicount_factor:0.8-total_time_step:100000,0.607,4.53258490562439
LTC_DQN,1e-05,0.82,100000,learning_rate:1e-05-dicount_factor:0.82-total_time_step:100000,-0.039,4.62654709815979
LTC_DQN,1e-05,0.86,200000,learning_rate:1e-05-dicount_factor:0.86-total_time_step:200000,0.191,9.061210870742798
LTC_DQN,0.001,0.84,200000,learning_rate:0.001-dicount_factor:0.84-total_time_step:200000,-0.095,9.056865930557251
LTC_DQN,1e-05,0.8,300000,learning_rate:1e-05-dicount_factor:0.8-total_time_step:300000,-0.334,15.251063108444214
LTC_DQN,0.001,0.82,200000,learning_rate:0.001-dicount_factor:0.82-total_time_step:200000,0.109,12.785768985748291
LTC_DQN,0.0001,0.8,100000,learning_rate:0.0001-dicount_factor:0.8-total_time_step:100000,0.119,5.746923923492432
LTC_DQN,0.0001,0.84,300000,learning_rate:0.0001-dicount_factor:0.84-total_time_step:300000,-0.167,15.200221061706543
LTC_DQN,0.01,0.82,500000,learning_rate:0.01-dicount_factor:0.82-total_time_step:500000,-0.721,23.697255849838257
LTC_DQN,0.0001,0.82,500000,learning_rate:0.0001-dicount_factor:0.82-total_time_step:500000,0.299,22.63262104988098
LTC_DQN,1e-05,0.84,100000,learning_rate:1e-05-dicount_factor:0.84-total_time_step:100000,-0.130,4.668456077575684
LTC_MULTI_AGENT,0.007,0.8,200000,learning_rate:0.007-dicount_factor:0.8-total_time_step:200000,0.113,12.939972877502441
LTC_MULTI_AGENT,0.007,0.84,400000,learning_rate:0.007-dicount_factor:0.84-total_time_step:400000,0.362,24.3426570892334
LTC_MULTI_AGENT,7e-05,0.82,200000,learning_rate:7e-05-dicount_factor:0.82-total_time_step:200000,0.283,12.552397012710571
LTC_MULTI_AGENT,0.0007,0.8,400000,learning_rate:0.0007-dicount_factor:0.8-total_time_step:400000,0.411,25.109835863113403
LTC_MULTI_AGENT,0.7,0.84,100000,learning_rate:0.7-dicount_factor:0.84-total_time_step:100000,0.139,6.051587104797363
LTC_MULTI_AGENT,0.7,0.84,300000,learning_rate:0.7-dicount_factor:0.84-total_time_step:300000,-0.286,18.179178953170776
LTC_MULTI_AGENT,7e-05,0.9,100000,learning_rate:7e-05-dicount_factor:0.9-total_time_step:100000,-0.188,6.308337926864624
LTC_MULTI_AGENT,0.7,0.86,300000,learning_rate:0.7-dicount_factor:0.86-total_time_step:300000,0.419,18.067672967910767
LTC_MULTI_AGENT,7e-05,0.82,500000,learning_rate:7e-05-dicount_factor:0.82-total_time_step:500000,0.219,31.419134855270386
LTC_MULTI_AGENT,0.7,0.9,100000,learning_rate:0.7-dicount_factor:0.9-total_time_step:100000,0.029,6.03921365737915
LTC_MULTI_AGENT,0.007,0.9,500000,learning_rate:0.007-dicount_factor:0.9-total_time_step:500000,-0.026,29.48422908782959
LTC_MULTI_AGENT,0.007,0.9,300000,learning_rate:0.007-dicount_factor:0.9-total_time_step:300000,0.150,18.18077278137207
LTC_MULTI_AGENT,0.0007,0.84,500000,learning_rate:0.0007-dicount_factor:0.84-total_time_step:500000,-0.554,30.69860816001892
LTC_MULTI_AGENT,0.0007,0.84,500000,learning_rate:0.0007-dicount_factor:0.84-total_time_step:500000,0.483,31.54096221923828
LTC_MULTI_AGENT,0.007,0.8,300000,learning_rate:0.007-dicount_factor:0.8-total_time_step:300000,-0.392,18.064770936965942
LTC_MULTI_AGENT,0.007,0.8,300000,learning_rate:0.007-dicount_factor:0.8-total_time_step:300000,0.050,18.807376861572266
LTC_MULTI_AGENT,7e-05,0.86,500000,learning_rate:7e-05-dicount_factor:0.86-total_time_step:500000,-0.281,31.616705894470215
LTC_MULTI_AGENT,0.007,0.9,300000,learning_rate:0.007-dicount_factor:0.9-total_time_step:300000,-0.091,19.73700499534607
LTC_MULTI_AGENT,0.0007,0.9,200000,learning_rate:0.0007-dicount_factor:0.9-total_time_step:200000,-0.141,12.299694061279297
LTC_MULTI_AGENT,0.007,0.84,100000,learning_rate:0.007-dicount_factor:0.84-total_time_step:100000,-0.068,6.071347951889038
